id ;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32
1;1;77.536829;5.9;0;0;0;0;0;15.96247;45;20.857911;10.38365;0.817526;0;0;0;0;0;0;0;0;0.9153;0.0018;0.016;0.0029;6;6;60.2443;0;0;1;0.1578623;0.3002274
2;1;77.242439;6.6;0;0;0;0;0;15.71993;45;169.88842;10.82605;0.081355;0;1;0;0;0;0;0;0;0.8984;0.0026;0.0225;0.0002;7;6;71.0499;1;0;1;0.1865427;0.3515311
3;1;70.553;30.5;0;0;0;0;1;16.33692;36;67.723207;6.916967;24.8747;0;0;0;1;0;0;0;0;0.0797;0.0003;0.9082;0;6;6;56.2901;0;0;7;0.1686813;0.3268106
4;1;63.149;82.6;0;0;0;0;0;15.48014;31;37.7517;6.583051;0.960896;0;1;0;1;0;0;0;0;0.0207;0.0015;0.85;0.0006;7;4;62.98;0;0;3;0.2608891;0.491676
5;1;50.206;100.3;1;0;0;0;0;17.0526;30;28.741933;5.850134;7.93991;0;0;1;0;1;0;0;0;0.4829;0;0.314;0.0002;6;7;50.0758;0;0;6;0.6270431;0.8841441
6;1;70.25;30.2;0;0;0;0;0;17.85122;31;110.75343;7.404307;1.32589;0;0;1;1;0;0;0;0;0.0297;0;0.04;0.87;6;6;75.7824;0;0;2;0.2369818;0.4168229
7;1;55.888;90.1;0;1;0;0;0;15.14707;30;69.625666;6.17205;3.24852;0;0;0;0;1;0;0;0;0.4163;0;0.1844;0;7;6;78.8092;0;0;6;0.6332505;0.8986703
8;1;69.603;18.8;1;0;0;0;0;11.46324;31;132.15694;7.587321;0.115086;1;0;1;0;1;0;0;0;0.81;0;0;0.0012;7;6;98.9657;0;0;3;0.3082531;0.6143041
9;1;68.007;28.7;1;0;0;0;0;14.01592;0;238.18713;8.656817;27.271;1;0;1;0;0;1;0;0;0.6258;0.0005;0.066;0.0032;5;7;73.9513;0;0;1;0.5112876;0.8604488
10;1;68.788;43.9;0;0;0;0;1;15.92364;30;52.991742;7.59862;5.88808;0;0;0;0;1;0;0;0;0.0094;0.0004;0.9898;0;7;6;94.1613;0;0;5;0.0202073;0.0403233
11;1;64.256;55.4;0;0;0;0;0;17.80304;0;70.061847;8.516122;0.657215;0;0;0;1;0;0;0;0;0.0071;0.0004;0.9885;0.0005;6;5;30.943;0;0;2;0.0228047;0.0451988
12;1;62.811;68.2;0;0;0;0;0;15.1195;31;7.8393931;8.252114;155.221;0;1;0;1;0;0;0;0;0.09;0;0.89;0.0001;7;4;65.5037;0;0;6;0.199404;0.3795606
13;1;45.509;107.2;1;0;0;0;0;16.67421;0;87.277449;5.428181;9.5378;0;1;1;0;1;0;0;0;0.8143;0.0001;0.1107;0;6;7;26.6095;0;0;6;0.319051;0.5568901
14;1;70.136585;16.6;0;0;0;0;0;17.76468;31;89.569345;7.930121;2.40092;0;0;0;0;0;0;0;0;0.7774;0.0047;0.0194;0.0004;5;5;56.3636;0;0;3;0.356007;0.6655566
15;1;71.541;14.3;1;0;0;0;0;14.43618;31;26.192256;10.71941;27.2495;0;0;0;1;0;0;0;0;0.0252;0;0.9318;0.0019;6;6;89.8646;1;1;6;0.1294209;0.2458286
16;1;75.880488;7.9;0;0;0;0;0;17.8629;0;236.62872;10.31473;1.45725;1;0;1;0;0;0;0;0;0.8426;0.0054;0.0182;0.0021;7;6;50.0155;0;0;1;0.2723155;0.5086768
17;1;75.214634;9.4;1;0;0;0;0;19.33546;42;27.254514;10.39034;1.34541;0;0;1;0;0;1;0;0;0.858;0.022;0.0092;0.0063;6;6;20.5502;1;0;1;0.2523074;0.4596441
18;1;72.571;20.2;0;0;0;1;0;14.95013;44;17.769335;8.311061;0.789127;0;0;0;0;0;0;1;0;0.7314;0.0099;0.0001;0;6;6;41.6285;0;0;1;0.398082;0.7734556
19;1;66.481;59.2;0;0;0;0;0;16.83642;31;48.213446;6.299949;18.1332;0;1;0;1;0;0;0;0;0.1;0.0025;0.88;0;7;3;76.6346;0;0;6;0.2152875;0.4089405
20;1;63.072;29.3;1;0;0;0;0;11.89569;31;12.02904;7.468948;1.28595;1;0;0;0;0;0;0;1;0.9061;0;0;0.0014;7;6;120.025;0;0;2;0.1704246;0.3394411
21;1;69.804;24.7;0;0;0;1;0;16.80432;43;22.517948;8.566372;38.2724;0;0;0;0;0;0;1;0;0.9632;0.002;0;0.0001;5;6;59.6341;1;0;1;0.0710377;0.1412307
22;1;70.536;37;0;1;0;0;0;18.0381;14;209.55976;5.65764;15.3066;0;0;0;1;0;0;0;0;0.0707;0;0.0009;0.09;7;5;81.3157;0;0;7;0.2839861;0.5024316
23;1;57.877;88.5;1;0;0;0;0;16.30516;30;22.836599;6.446628;23.065;0;0;0;1;0;0;0;0;0;0;0.9952;0;6;6;29.3684;0;0;6;0.0095539;0.0191078
24;1;45.003;110.5;1;0;0;0;0;15.89835;31;10.798172;6.485332;19.0921;0;1;1;0;1;0;0;0;0.7532;0.0001;0.0099;0.0003;5;7;72.4651;0;0;6;0.3766594;0.7312543
25;1;57.944;50.8;1;0;0;0;0;16.13624;22;26.323156;6.555536;2.50716;0;1;1;0;1;0;0;0;0.699;0.001;0.0085;0.0001;6;7;45.6593;0;0;6;0.4264118;0.8292463
